"Student ID","Student Name","Student Email",Membership
STUDENT ID,"Cameron Baby",email@email.com,"Computing Society Standard Membership"
STUDENT ID,"Alexander Goop",email@email.com,"Computing Society Standard Membership"
STUDENT ID,"Andrea Lodson",email@email.com,"Computing Society Standard Membership"
STUDENT ID,"Timothy Gamer",email@email.com,"Computing Society Standard Membership"
STUDENT ID,"Cameron Hutchinson-Brown",email@email.com,"Computing Society Standard Membership"
STUDENT ID,"James Pilcher",email@email.com,"Computing Society Standard Membership"
STUDENT ID,"Timothy Grad-Bottom",email@email.com,"Computing Society Standard Membership"
STUDENT ID,"Mac De Marco",email@email.com,"Computing Society Standard Membership"
STUDENT ID,"Charlie Long",email@email.com,"Computing Society Standard Membership"
STUDENT ID,"Michael Goop",email@email.com,"Computing Society Standard Membership"
STUDENT ID,"Peter Day",email@email.com,"Computing Society Standard Membership"
STUDENT ID,"Mike Corrigan",email@email.com,"Computing Society Standard Membership"
STUDENT ID,"Louis Corrigan",email@email.com,"Computing Society Standard Membership"
STUDENT ID,"Mark Day",email@email.com,"Computing Society Standard Membership"
STUDENT ID,"Steven Move",email@email.com,"Computing Society Standard Membership"
STUDENT ID,"Ken Trout",email@email.com,"Computing Society Standard Membership"
